Point	X (cm)	Y (cm)	Z (cm)		
Adductor femoris insertion	 5.36	 0.39	 0.15
Adductor longus insertion	 4.94	 0.87	 0.17
Biceps femoris, anterior head insertion	 10.52	 0.27	 -1.56
Biceps femoris, anterior head, via point	 9.28	 0.02	 0.37
Caudofemoralis insertion	 8.62	 -0.04	 0.47
Extensor digitorum longus origin	 10.16	 0.16	 0.26
Femoral head	 0.20	 2.16	 0.16
Gluteus maximus insertion	 -0.22	 -0.18	 0.27
Gluteus medius insertion	 0.23	 -0.42	 -0.08
Gluteus minimus insertion	 0.10	 -0.25	 0.76
Greater trochanter	 0.00	 0.00	 0.00
Iliopsoas insertion	 0.81	 1.11	 -0.02
Lateral femoral condyle	 9.62	 0.00	 0.00
Lateral gastrocnemius origin	 9.11	 -0.05	 0.26
Medial femoral condyle	 9.80	 1.74	 0.00
Medial gastrocnemius origin	 9.15	 1.15	 0.06
Pectineus insertion	 3.72	 0.79	 -0.09
Plantaris origin	 9.05	 -0.19	 0.27
Psoas minor insertion	 0.90	 1.21	 0.69
Pyriformis insertion	 0.13	 0.18	 0.08
Quadratus femoris insertion	 0.78	 0.63	 -0.54
Rectus femoris via point	 9.98	 0.80	 1.50
Semimembranosus insertion	 9.97	 1.38	 -0.01
Vastus intermedius origin	 1.93	 0.41	 0.43
Vastus intermedius via point	 9.84	 0.59	 1.33
Vastus lateralis origin	 0.50	 -0.04	 0.20
Vastus lateralis via point	 9.78	 0.39	 1.30
Vastus medius origin	 1.70	 1.10	 0.38
Vastus medius via point	 10.06	 1.15	 1.05
