
Point	X (cm)	Y (cm)	Z (cm)	
Extensor digitorum longus via point 2	 2.43	 0.02	 1.31
Flexor digitorum longus insertion	 6.54	 0.29	 -0.40
Flexor digitorum longus via point 2	 2.67	 0.63	 -0.17
Flexor hallucis longus via point 2	 2.02	 0.34	 -0.01
Calcaneus	 0.00	 0.00	 0.00
Lateral gastrocnemius insertion	 -0.14	 0.17	 0.35
Lateral metatarsal phalangeal joint	 8.03	 -1.06	 0.00
Medial gastrocnemius insertion	 -0.17	 0.02	 0.22
Medial metatarsal phalangeal joint	 7.77	 1.06	 0.00
Peroneus brevis insertion	 3.19	 -0.73	 0.27
Peroneus brevis via point 2	 1.79	 -0.40	 0.52
Plantaris via point	 -0.11	 0.08	 -0.24
Peroneus longus insertion	 2.22	 -0.68	 0.36
Peroneus tertius insertion	 7.57	 -1.26	 0.34
Peroneus tertius via point	 1.23	 -0.34	 0.98
Soleus insertion	 0.02	 0.17	 0.17
Tibialis anterior insertion	 3.65	 0.65	 0.12
Tibialis posterior insertion	 2.41	 0.82	 -0.09
