Muscle	Knee Extension (cm)	Knee External(cm)	Ankle Flexion (cm)	Ankle Abduction(cm)	Ankle Flexion (Literature)
BFP	-2.78	-1.96	 NaN	 NaN	 NaN
EDL	0.27	0.27	1.09	-0.32	1.23
FDL	 NaN	 NaN	-0.22	-0.85	-0.18
FHL	 NaN	 NaN	-0.23	0.083	-0.57
GRAC	-2.82	1.1	 NaN	 NaN	 NaN
LG	-0.88	1.18	-1.5	0.095	-1.6
MG	-0.86	-0.06	-1.57	0.22	-1.6
PB	 NaN	 NaN	-0.02	0.56	-0.03
PLAN	-0.94	1.33	-1.55	0.093	-1.6
PL	 NaN	 NaN	0.21	0.57	0.37
PT	 NaN	 NaN	0.18	0.38	-0.03
RF	1.05	-0.57	 NaN	 NaN	 NaN
SM	-0.67	1.22	 NaN	 NaN	 NaN
SOL	 NaN	 NaN	-1.35	0.09	-1.6
ST	-3.65	0.82	 NaN	 NaN	 NaN
TA	 NaN	 NaN	1.5	-0.01	1.2
TP	 NaN	 NaN	0.05	-0.93	-0.04
VI	0.98	-0.83	 NaN	 NaN	 NaN
VL	0.95	-1.05	 NaN	 NaN	 NaN
VM	0.98	-0.11	 NaN	 NaN	 NaN
